Continent;Isocode alpha-3;Pays;France ou autres pays
Europe;FRA;France;France métropolitaine
Amérique;GLP;Guadeloupe;France d'outre-mer
Amérique;GUF;Guyane;France d'outre-mer
Amérique;MTQ;Martinique;France d'outre-mer
Afrique;MYT;Mayotte;France d'outre-mer
Océanie;NCL;Nouvelle-Calédonie;France d'outre-mer
Océanie;PYF;Polynésie française;France d'outre-mer
Afrique;REU;Réunion;France d'outre-mer
Amérique;MAF;Saint-Martin;France d'outre-mer
Amérique;SPM;Saint-Pierre-et-Miquelon;France d'outre-mer
Océanie;ATF;Terres australes et antarctiques françaises;France d'outre-mer
Océanie;WLF;Wallis-et-Futuna;France d'outre-mer
Asie;AFG;Afghanistan;Autres pays
Afrique;ZAF;Afrique du Sud;Autres pays
Europe;ALB;Albanie;Autres pays
Afrique;DZA;Algérie;Autres pays
Europe;DEU;Allemagne;Autres pays
Europe;AND;Andorre;Autres pays
Afrique;AGO;Angola;Autres pays
Amérique;AIA;Anguilla;Autres pays
Antarctique;ATA;Antarctique;Autres pays
Amérique;ATG;Antigua-et-Barbuda;Autres pays
Asie;SAU;Arabie Saoudite;Autres pays
Amérique;ARG;Argentine;Autres pays
Asie;ARM;Arménie;Autres pays
Amérique;ABW;Aruba;Autres pays
Océanie;AUS;Australie;Autres pays
Europe;AUT;Autriche;Autres pays
Asie;AZE;Azerbaïdjan;Autres pays
Amérique;BHS;Bahamas;Autres pays
Asie;BHR;Bahreïn;Autres pays
Asie;BGD;Bangladesh;Autres pays
Amérique;BRB;Barbade;Autres pays
Europe;BEL;Belgique;Autres pays
Amérique;BLZ;Belize;Autres pays
Afrique;BEN;Bénin;Autres pays
Amérique;BMU;Bermudes;Autres pays
Asie;BTN;Bhoutan;Autres pays
Europe;BLR;Biélorussie;Autres pays
Amérique;BOL;Bolivie;Autres pays
Europe;BIH;Bosnie-Herzégovine;Autres pays
Afrique;BWA;Botswana;Autres pays
Amérique;BRA;Brésil;Autres pays
Amérique;VGB;British Virgin Islands;Autres pays
Asie;BRN;Brunei Darussalam;Autres pays
Europe;BGR;Bulgarie;Autres pays
Afrique;BFA;Burkina Faso;Autres pays
Afrique;BDI;Burundi;Autres pays
Asie;KHM;Cambodge;Autres pays
Afrique;CMR;Cameroun;Autres pays
Amérique;CAN;Canada;Autres pays
Afrique;CPV;Cap-Vert;Autres pays
Amérique;CHL;Chili;Autres pays
Asie;CHN;Chine;Autres pays
