Circuit de distribution;Famille de produit;Sous1000000famille de produit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Grande distribution généraliste;Fruits et légumes frais;Fruits;101;103;112;118;124;153;217;269;328;355;394;383;355
Grande distribution généraliste;Fruits et légumes frais;Légumes;83;85;91;97;104;127;190;228;253;294;323;291;270
Grande distribution généraliste;Crèmerie;Lait;201;223;221;221;233;245;260;258;307;322;349;326;316
Grande distribution généraliste;Crèmerie;Produits laitiers;164;194;191;198;214;231;275;336;440;536;569;517;482
Grande distribution généraliste;Crèmerie;œufs;127;143;148;159;166;177;205;248;290;354;411;387;393
Grande distribution généraliste;Viandes;Viande bovine;94;103;107;114;132;147;171;197;242;261;292;267;241
Grande distribution généraliste;Viandes;Viande porcine;29;31;33;34;35;36;39;44;64;88;96;88;73
Grande distribution généraliste;Viandes;Viande agneau;14;15;16;17;18;18;15;17;19;21;23;22;19
Grande distribution généraliste;Viandes;Volaille;58;65;64;68;74;79;87;106;138;163;173;164;140
Grande distribution généraliste;Viandes;Charcuterie salaison;43;50;49;55;63;63;67;87;109;130;135;120;102
Grande distribution généraliste;Mer, traiteur, surgelés;Mer, saurisserie, fumaison;41;109;112;70;77;92;123;132;155;165;179;183;164
Grande distribution généraliste;Mer, traiteur, surgelés;Traiteur;45;50;53;57;60;68;86;125;168;199;205;202;183
Grande distribution généraliste;Mer, traiteur, surgelés;Surgelés;42;1000000;1000000;62;63;65;81;97;128;173;225;222;211
Grande distribution généraliste;Boulangerie, pâtisserie fraîche;Boulangerie, pâtisserie fraîche;130;134;132;130;133;148;170;206;247;294;300;278;273
Grande distribution généraliste;Epicerie;Epicerie sucrée;246;288;308;340;400;460;598;754;935;1150;1328;1323;1310
Grande distribution généraliste;Epicerie;Epicerie salée;218;281;289;319;373;422;545;708;878;1071;1275;1222;1180
Grande distribution généraliste;Boissons sans alcool;Boissons végétales;30;31;34;36;41;47;61;71;78;80;90;84;82
Grande distribution généraliste;Boissons sans alcool;Jus de fruits & de légumes, BRSA;96;104;110;121;129;142;169;213;245;292;289;283;279
Grande distribution généraliste;Boissons alcoolisées;Vins tranquilles et autres;64;72;80;93;106;117;134;160;197;217;234;245;228
Grande distribution généraliste;Boissons alcoolisées;Cidres, bières et autres boissons alcoolisées;5;6;7;8;8;9;12;17;25;33;48;59;58
Distribution spécialisée bio;Fruits et légumes frais;Fruits;119;126;139;153;171;223;327;386;413;424;484;451;399
